"metadata_ESTCID","Freq","TotalLength"
"P002572","2","169230"
"T090432","1","1095015"
"T138709","6","1411984"
"N023046","1","4892"
"T138024","2","31666"
"T012225","2","7330"
"T113598","1","71367"
"N019842","2","21930"
"T089338","1","22378"
"T124105","1","118464"
"T028054","1","17489"
"T060974","2","94419"
"T118975","1","34821"
"T114528","1","97449"
"N002197","2","209592"
"T090624","1","47211"
"T033824","1","13245"
"N028296","1","1050198"
"N001895","1","18969"
"T105509","1","173183"
"T110040","1","34436"
"W002471","1","125346"
"N012212","1","30595"
"T174240","2","11295"
"T092165","2","17467"
"T131309","1","73546"
"N003564","1","50126"
"T026204","1","17489"
"T056446","1","1049516"
"N027762","1","6917"
"T098739","1","329032"
"N002146","1","8761"
"P002572","1","262827"
"T057081","1","29512"
"T025362","1","121816"
"T089429","4","48023"
"P006021","1","117680"
"T101343","1","71550"
"N040759","1","354901"
"T121416","1","66626"
"P006675","1","68246"
"T051628","1","68005"
"T028055","1","7997"
"T091286","1","67249"
"T040276","2","77473"
"T022987","2","439465"
"T058745","1","70103"
"T116056","1","4529"
"N000004","1","106435"
"T111103","1","10681"
"T105087","1","70201"
"T121918","1","71041"
"T111682","1","86272"
"T028064","1","20501"
"T163726","1","48645"
"N003088","1","13511"
"T147006","5","120655"
"T112220","2","7342"
"T127090","2","186136"
"T137194","1","67143"
"N021671","1","31897"
"T112695","1","263575"
"N016511","1","63486"
"T072780","1","63213"
"T134044","1","22418"
"T056255","1","86846"
"T081254","1","53703"
"W020728","1","46564"
"T136396","1","5626"
"T109176","2","170726"
"T009318","1","5582"
"T113142","2","191085"
"T064311","3","93379"
"W020440","1","44525"
"T089553","1","5754"
"T122546","1","5415"
"T131953","1","95641"
"T073254","3","10017"
"T110923","5","466823"
"T129850","1","171036"
"T099478","3","118613"
"T147543","1","66086"
"N008929","1","207460"
"T074271","1","16412"
"T008517","1","4608"
"T131597","1","42027"
"T131959","2","70722"
"N022624","2","7364"
"N020682","2","11409"
"N001293","1","125114"
"T116394","2","209607"
"T135493","1","29686"
"T131281","1","87626"
"T131962","2","94289"
"T106747","1","17698"
"T186459","1","11269"
"T128309","1","43280"
"N002162","1","25464"
"T103707","1","281433"
"T119141","1","17169"
"N014043","1","5483"
"T165018","2","32023"
"T089332","1","9896"
"T103707","1","273178"
"T033425","1","59848"
"N016760","1","9124"
"T072770","3","88907"
"T132589","1","21547"
"T070583","1","22227"
"N001896","1","25674"
"T131597","6","68203"
"T055021","1","25032"
"T061210","1","6890"
"T096063","1","120320"
"T121016","1","17489"
"N005843","1","103897"
"T093704","1","33129"
"N018584","1","35118"
"T122825","3","180449"
"T061545","2","19733"
"N008422","2","65773"
"T091300","2","67246"
"T113891","1","66475"
"T037270","1","5420"
"T126673","1","57262"
"T026901","1","32014"
"T055929","1","109618"
"T173044","1","30175"
"T069538","1","22233"
"N028938","1","9596"
"T149856","3","30333"
"T146926","2","42286"
"T107662","3","87313"
"N003684","3","21626"
"P002719","4","262257"
"T136238","3","1377131"
"T148169","1","4161"
"N069122","5","266949"
"T066318","1","19089"
"T077710","1","22498"
"T213496","3","266082"
"T175875","1","5564"
"T108818","1","1860"
"T046583","1","65856"
"T010569","1","48044"
"T105641","1","24821"
"N019415","1","490905"
"T070113","1","270676"
