"metadata_ESTCID","Freq","TotalLength"
"T026767","39","66621"
"T118225","4","27081"
"T045802","7","29745"
"N020874","33","42636"
"T090432","14","1095015"
"T009541","3","67039"
"T061385","2","363239"
"T146100","2","42464"
"T138709","164","1411984"
"T196383","3","117932"
"T055932","7","61252"
"T064267","9","90722"
"T054056","2","19126"
"T092283","11","43885"
"N006494","5","30908"
"N019842","2","21930"
"T124105","33","118464"
"N009889","5","42283"
"T011210","12","179190"
"T146573","4","172242"
"T073696","2","23970"
"T060974","2","94419"
"N004673","2","69032"
"T118975","2","34821"
"T077591","4","19761"
"T138158","19","466153"
"T057830","3","10556"
"T148873","7","96604"
"T090432","11","1048604"
"T138157","25","473482"
"T060478","14","16468"
"T065123","4","4523"
"W002471","4","125346"
"T100698","5","35255"
"T013578","2","6109"
"T092325","17","10632"
"T192782","2","16651"
"T195356","2","5490"
"T131309","56","73546"
"N027802","23","42475"
"T112363","2","12224"
"T098739","16","329032"
"T112598","6","18981"
"N002424","6","43258"
"N014193","3","77630"
"P002572","17","262827"
"T091308","8","23922"
"T129330","13","47931"
"T053583","3","12735"
"T134254","2","29876"
"T089429","93","48023"
"P006021","3","117680"
"N010657","6","7715"
"T098051","7","68849"
"T094622","4","144162"
"T082749","2","18615"
"T028055","4","7997"
"P002656","5","123058"
"T150137","19","123654"
"T096464","3","68832"
"T128108","2","8652"
"N066478","3","42112"
"T090621","3","68592"
"N007443","4","11687"
"T027820","3","45413"
"T000911","18","21034"
"T053256","2","45019"
"T134261","3","42466"
"T026194","3","46287"
"N005427","2","87953"
"T083806","4","88826"
"T026766","32","66685"
"T084361","3","68260"
"T147006","2","120655"
"T127090","2","186136"
"T071033","2","95078"
"N016511","14","63486"
"N011120","3","123544"
"T153315","3","2790"
"T126618","2","21154"
"T167000","2","5453"
"T109176","25","170726"
"N019166","4","87816"
"T089484","3","66196"
"T131953","3","95641"
"T105088","2","70893"
"T111619","5","22154"
"P006675","2","68324"
"T111674","2","12982"
"T110923","23","466823"
"T099478","13","118613"
"T038442","6","10549"
"T147543","21","66086"
"T096464","7","74633"
"T072881","3","11564"
"T060056","17","27025"
"T147538","3","16480"
"T018437","4","22892"
"T092587","3","5413"
"T141449","6","30353"
"N022624","2","7364"
"T120701","2","100150"
"T079315","2","43051"
"T131281","5","87626"
"T131962","2","94289"
"T091561","29","67130"
"N005316","3","4179"
"T143424","3","39739"
"T040678","2","24817"
"N031731","4","42731"
"T147695","2","31966"
"T033425","15","59848"
"T133190","8","66477"
"T072770","14","88907"
"T096063","6","120320"
"T063476","2","18488"
"T180948","2","47027"
"T147252","5","109648"
"N024881","26","118245"
"N010023","2","70866"
"N012773","3","100176"
"T093449","18","22382"
"N012152","2","47991"
"T126673","9","57262"
"T131094","2","42170"
"T077751","2","16481"
"N006493","4","31211"
"T137535","13","10575"
"T179882","5","23177"
"T050908","22","43869"
"N020403","7","16467"
"T109963","5","20476"
"T173044","4","30175"
"T013779","4","17677"
"T138240","9","94281"
"T108496","3","5432"
"T149856","12","30333"
"T132334","6","10598"
"T087865","5","7337"
"T126842","11","34544"
"T107662","143","87313"
"N014699","4","4176"
"P002719","34","262257"
"T193384","13","13249"
"T136238","42","1377131"
"N010903","11","17876"
"T005834","6","20101"
"T068332","5","2784"
"N069122","8","266949"
"T140212","3","5462"
"T066318","18","19089"
"T050895","12","21443"
"T013552","4","16474"
"T061708","41","43087"
"N014391","2","119066"
"T131807","75","42798"
"T171051","5","3674"
"T152908","30","169173"
"T213496","34","266082"
"N019618","3","4124"
"T160848","98","681740"
"T046583","42","65856"
"N021045","2","5599"
"T107175","9","10887"
