"metadata_ESTCID","Freq","TotalLength"
"T090432","7","1095015"
"T138709","14","1411984"
"T113598","2","71367"
"T089338","2","22378"
"T060974","3","94419"
"T114528","6","97449"
"N002197","4","209592"
"T090624","2","47211"
"N028296","2","1050198"
"W002471","2","125346"
"T092165","3","17467"
"T131309","2","73546"
"T056446","2","1049516"
"T057081","2","29512"
"T025362","2","121816"
"T089429","7","48023"
"T121416","3","66626"
"T022987","4","439465"
"N000004","4","106435"
"T111103","3","10681"
"T121918","2","71041"
"T111682","2","86272"
"T147006","14","120655"
"T137194","6","67143"
"T112695","2","263575"
"N016511","3","63486"
"T134044","2","22418"
"T109176","3","170726"
"T113142","4","191085"
"T064311","5","93379"
"T131953","3","95641"
"T110923","22","466823"
"T099478","5","118613"
"T147543","2","66086"
"N008929","3","207460"
"T131597","2","42027"
"T131959","6","70722"
"T116394","4","209607"
"T135493","2","29686"
"T131281","2","87626"
"T131962","4","94289"
"T131597","11","68203"
"T096063","2","120320"
"T122825","4","180449"
"T055929","3","109618"
"T173044","3","30175"
"T149856","4","30333"
"T107662","4","87313"
"P002719","9","262257"
"T136238","5","1377131"
"N069122","11","266949"
"T077710","2","22498"
"T213496","10","266082"
"T175875","2","5564"
"T046583","2","65856"
"T105641","2","24821"
"N019415","4","490905"
"T070113","4","270676"
"T164247","2","67020"
"W026110","2","143854"
"T130902","4","132545"
"T119489","2","36465"
"T119887","11","66066"
"T134850","9","67477"
"T093953","3","104805"
"T041681","2","66074"
"T117048","4","69846"
"T098546","9","122353"
"T074071","3","68828"
"N003703","22","85865"
"T122410","3","65820"
"T146566","14","88644"
"T137131","7","76118"
"N037345","3","138203"
"T136233","5","1377050"
"N021364","3","10742"
"T005959","3","123846"
"T146035","11","67841"
"T111260","2","29622"
"N001743","4","17020"
"T117451","9","88933"
"T046581","2","65905"
"N018727","4","23777"
"T038577","6","42941"
"T110794","8","66419"
"T001119","5","11628"
"T136426","5","503166"
"T058640","3","44183"
"N019579","2","4216"
"T092836","2","86761"
"T149856","10","43381"
"T033348","4","21637"
"T046584","3","65856"
"T114018","5","16869"
"T136425","4","485149"
"T131033","2","82554"
"N017235","2","66075"
"N019018","8","66235"
"T149178","4","42464"
"N053799","3","118688"
"T144784","7","65773"
"N034908","9","483414"
"P000142","17","266352"
"T085261","38","1073417"
"T213495","5","267221"
"T021444","2","24950"
"T129033","7","30360"
"N005092","6","280483"
"T061379","2","11752"
"T078581","6","121962"
"T177414","4","88843"
"T107053","6","174413"
"N068871","2","332108"
"T068455","3","29894"
"T065483","3","71402"
"N005947","2","10732"
"T025308","2","16705"
"T099360","5","56129"
"T007171","4","21577"
"N019018","7","66312"
"N019644","2","4179"
"N036060","2","41943"
"T146519","2","67509"
"T067329","5","65996"
"T100408","12","43824"
"N016687","2","48259"
"T097807","2","17838"
"T086977","2","16835"
"T118422","2","45767"
"T164627","5","42605"
"P002028","6","511745"
"T000854","4","31391"
"T119592","9","43564"
"T146819","22","124266"
"T188569","9","104306"
"T175930","4","121421"
"T138763","5","269632"
"T221165","5","268545"
"T144565","8","42163"
"T041374","3","17495"
"T135524","4","111352"
"T178720","4","90306"
"T147415","11","171940"
"N003705","20","85938"
"T082997","2","7473"
"T036582","4","11651"
"T119490","3","29187"
"N026286","5","16431"
"T173290","3","22481"
"T089449","5","133948"
"P003413","9","343638"
"T054399","5","119968"
"T089829","2","7414"
"N006260","7","42027"
"T113007","10","68813"
"T032060","2","18759"
"T086999","2","30685"
"T092418","4","73724"
"T004007","9","65833"
"T130678","3","44442"
"T119887","9","65966"
"T175930","3","88822"
"T121658","23","91297"
"T138374","14","66031"
"T117828","5","50133"
"T092832","2","30970"
"W030387","2","119192"
"T005341","2","7644"
"T058982","7","129096"
"T131033","7","77768"
"T178296","7","44307"
"T138192","4","66738"
"N008950","3","58668"
"T200931","6","274356"
"N007987","4","121382"
"T074070","4","46159"
"T177583","12","22286"
"T146035","19","67081"
"T070330","5","10805"
"T066159","7","17113"
"T136428","3","484926"
"N050173","14","268436"
"T155101","2","127162"
"T136311","3","16747"
"T129027","5","29423"
"T093420","3","29286"
"T130758","3","58951"
"T138372","13","66055"
"T082906","3","69368"
"T002895","4","94116"
"T058982","11","85937"
"P003413","12","264103"
"T090779","2","18615"
"T078345","5","29539"
"T180973","6","88976"
"T022163","2","16726"
"T144643","8","43609"
"P002032","4","61655"
"N020982","5","66309"
"T050966","5","11114"
"T129680","12","17267"
"T058982","7","87359"
"T183391","6","18807"
"T076062","7","32327"
"T066624","8","42175"
"T063764","10","29356"
"T124516","2","89851"
"T213497","9","266871"
"T083753","2","101925"
"N019013","5","66288"
"T177669","15","43129"
"N050177","11","120729"
"N006811","6","120845"
"T136977","11","91110"
"T160877","8","86489"
"T084641","12","33139"
"N006651","3","46023"
"N008416","5","65746"
"T165224","2","7345"
"N027684","2","11180"
"N023377","9","22256"
"T161023","14","116675"
"T063450","3","93613"
"N029780","6","117312"
"T155206","2","173415"
"T149360","4","86652"
"T125821","3","25332"
"T162395","3","43160"
"P002719","9","262257"
"T072099","19","67988"
"T032718","2","11194"
"T117623","4","67940"
"P003017","8","181447"
"T147415","4","149825"
"N014368","4","85721"
"T081771","3","22372"
"T079283","5","120881"
"T110125","2","29810"
"T199376","2","29191"
"T161022","13","116690"
"N008618","3","10595"
"T122410","9","65976"
"T063191","2","44143"
"N019006","17","85844"
"T121339","27","120738"
"T001075","4","24392"
"T100690","2","21626"
"T135365","11","27534"
"T089918","5","85919"
"T153060","3","92229"
"T177414","6","90531"
"N011096","3","31958"
"T046579","2","65856"
"T102910","5","168597"
"N029780","8","116921"
"T173761","4","94904"
"N035842","2","21762"
"W002925","7","66213"
"W002987","6","31218"
"N006261","2","67431"
"P002719","5","266379"
"T011227","5","21631"
"T154545","2","237735"
"N034246","4","66903"
"N034459","5","29315"
"T060637","3","65677"
"T111010","14","65572"
"T118423","3","68218"
"N010940","2","7508"
"P006031","17","179832"
"T132173","5","170224"
"T102199","6","18645"
"T180973","7","88250"
"N016052","16","186234"
"P006669","4","31977"
"T133958","6","191598"
"T088372","3","87684"
"T066036","4","74475"
"N014368","8","69288"
"T165875","4","58737"
"T125368","12","32014"
"T066623","9","42659"
"T098546","7","121191"
"T185989","4","73243"
"T141134","4","86593"
"T018922","3","27868"
"T097924","8","89401"
"T085468","4","66968"
"T138955","2","73547"
"T193720","8","122203"
"N002193","2","207709"
"W029495","6","47604"
"T131947","10","94373"
"N004626","4","126304"
"T110322","4","92619"
"T101515","7","1051575"
"T111519","13","46542"
"T113802","9","66373"
"T021817","7","65687"
"T126294","4","66393"
"T146150","3","88174"
"W036929","7","66708"
"T080193","5","123769"
"T114346","4","178478"
"T144147","5","174573"
"T073050","5","117905"
"T130668","6","86122"
"N010808","7","44075"
"T110636","19","67832"
"T011452","2","77145"
"T117849","6","82066"
"N003546","2","19638"
"T117611","3","195157"
"T122356","6","76680"
"N003562","2","82461"
"P002572","5","170648"
"T061916","3","8688"
"T039714","14","479753"
"T054654","3","21788"
"T128583","2","22835"
"T154285","7","1144784"
"N002183","4","207660"
"T009972","6","47258"
"N012773","2","121745"
"T131949","4","86453"
"T131954","5","98984"
"T134025","2","52540"
"T060974","5","72376"
"T117849","2","69813"
"T147035","4","1054010"
"T120384","4","195157"
"T119505","2","86246"
"T056791","2","11234"
"T051025","4","4417"
"T078932","2","87558"
"T147252","2","172883"
"P002925","3","66482"
"P002572","4","119525"
"N016941","25","285051"
"T186889","8","85821"
"T107340","7","127191"
"T200747","7","116695"
"T145979","5","76491"
"T138428","3","262484"
"T056090","7","88626"
"T043043","2","72585"
"T141023","4","67006"
"T088910","4","121667"
"T098191","11","117295"
"T146872","7","86459"
"N015693","5","530092"
"T078977","5","102426"
"T135919","5","88925"
"N029529","7","128736"
"T127398","2","47652"
"T088907","2","89977"
"T119122","13","66172"
"T073491","8","109849"
"N020132","6","197852"
"T072791","12","117362"
"T136380","6","87174"
"T040980","3","29834"
"T146899","3","65731"
"T097133","12","65702"
"T145260","4","86231"
"T133956","5","69346"
"T036569","23","93390"
"T091573","6","117599"
"T118532","3","17762"
"T135771","6","87477"
"T139624","5","93189"
"T177160","5","88540"
"T139580","2","116703"
"T137892","10","71665"
"T102206","3","84919"
"T086545","2","29320"
"T073302","2","30158"
"T061240","4","90529"
"T121300","2","18923"
"T131649","2","70009"
"T051472","5","48717"
"T098245","9","129523"
"T127786","4","207646"
"P002572","4","266565"
"T074517","2","44849"
"T022183","4","102724"
"T112978","2","31541"
"T130263","3","66346"
"T129173","13","43142"
"P002028","5","511753"
"T130681","2","117056"
"T089450","4","127736"
"W029685","4","342569"
"T078993","3","29707"
"T125368","4","34446"
"N004117","5","21399"
"P000142","2","170441"
"T118307","2","29840"
"N001859","3","91467"
"T000853","2","16467"
"T056418","3","29256"
"T145593","4","71384"
"T144565","7","20157"
"N012562","8","65944"
"T178720","6","89021"
"T147682","14","47488"
"T088895","2","23619"
"T107760","2","466585"
"T101795","2","43054"
"N016626","5","31466"
"N015090","3","19124"
"T074579","3","68188"
"T069876","5","66595"
"T064290","3","21503"
"T180973","6","89056"
"T178984","3","167978"
"T043723","5","42411"
"T149360","6","89309"
"T092494","8","42425"
"N008403","6","38399"
"T098261","3","16675"
"T043635","2","27884"
"T141134","2","133340"
"T133958","4","265247"
"T153168","12","22787"
"P002719","7","266401"
"T133960","8","286694"
"T027023","6","8139"
"T178276","7","22577"
"P002927","5","116628"
"N000660","2","65856"
"T146147","4","88252"
"T147315","8","66493"
"T221183","5","269998"
"T137422","3","91835"
"T055173","2","5131"
"T082477","11","124024"
"T060748","11","183097"
"T030440","8","42256"
"N006481","4","90300"
"T078753","7","16513"
"T130837","6","66176"
"T143333","8","137014"
"T117548","3","71944"
"T108629","9","30549"
"T070331","6","11066"
"T117267","3","44556"
"T131524","11","66888"
"N014289","4","41981"
"W003398","7","29924"
"T093507","2","24573"
"P006031","9","87899"
"T108640","2","21866"
"T121848","2","17485"
"T080462","4","90829"
"T097928","5","121346"
"T013501","2","69552"
"T177839","16","43129"
"N048331","2","65856"
"W041643","2","122010"
"T173044","9","42826"
"T080526","3","108493"
"N068545","4","85721"
"T213481","13","268436"
"N050172","8","266281"
"T138373","11","66031"
"N045850","10","70313"
"T146564","7","119967"
"T123876","9","70855"
"T135433","2","118019"
"T170201","6","66554"
"T063441","4","31979"
"T136487","5","73254"
"T107856","2","29274"
"T137642","4","70390"
"T140385","3","86118"
"T110673","3","291923"
"T129570","6","38399"
"N029018","2","8559"
"T046580","3","65856"
"T033307","2","6134"
"T046585","2","65856"
"N051934","3","267928"
"T033327","4","31386"
"T040871","3","46156"
"N003668","11","67612"
"T058982","12","117027"
"T119887","5","68411"
"T213350","5","90885"
"T097929","8","120144"
"T110142","4","16513"
"T057206","3","29217"
"T111119","3","67587"
"T105290","2","66628"
"T082477","8","138608"
"P002032","4","56591"
"T092975","8","29360"
"N020491","2","10590"
"N046082","3","29288"
"T046578","2","65856"
"T031580","5","10713"
"T123917","4","90648"
"T080528","3","139809"
"T067233","2","69383"
"T138245","7","183132"
"T125828","3","43470"
"T144321","5","285062"
