"metadata_ESTCID","Freq","TotalLength"
"N003382","3","22342"
"T135467","2","176059"
"T101901","15","45397"
"T097938","3","90569"
"T122410","9","65976"
"T095973","4","87145"
"T063191","4","44143"
"T127310","3","5492"
"N019006","29","85844"
"T121339","26","120738"
"T001075","4","24392"
"P002287","6","69607"
"T100690","4","21626"
"T135365","11","27534"
"T117230","4","11461"
"T089918","17","85919"
"T153060","3","92229"
"T099957","3","9685"
"T182182","9","21862"
"T177414","8","90531"
"T046579","2","65856"
"N034994","3","25051"
"T136891","8","22591"
"N029780","6","116921"
"T173761","4","94904"
"W002925","10","66213"
"T154542","5","172488"
"N005403","12","66579"
"W002987","4","31218"
"N006261","3","67431"
"P002719","5","266379"
"T054156","2","5377"
"T097165","2","10673"
"T154620","7","10513"
"T011227","2","21631"
"T190313","5","11069"
"T154545","6","237735"
"T092638","2","10569"
"N034246","4","66903"
"N034459","6","29315"
"N015725","5","86691"
"N002336","2","5472"
"W013562","10","96337"
"T147415","6","171936"
"T118423","3","68218"
"T123963","39","42695"
"P006031","18","179832"
"T132173","2","170224"
"T041511","6","44876"
"T180973","14","88250"
"N016052","13","186234"
"N010613","6","12510"
"P006669","6","31977"
"T224411","2","21512"
"T133958","10","191598"
"T088372","3","87684"
"T066036","3","74475"
"T118926","5","30148"
"N014368","12","69288"
"T165875","3","58737"
"T125368","4","32014"
"T062612","3","67726"
"T136095","3","27637"
"T098546","10","121191"
"T185989","8","73243"
"T018922","2","27868"
"N023405","3","30344"
"T097924","5","89401"
"T085468","3","66968"
"T112420","4","21639"
"T138955","4","73547"
"T193720","5","122203"
"N002193","10","207709"
"W029495","2","47604"
"T131947","9","94373"
"N009341","3","16001"
"N004626","17","126304"
"T101515","23","1051575"
"T135750","5","70369"
"T089156","7","125305"
"T111519","4","46542"
"T126294","9","66393"
"T146150","2","88174"
"W036929","9","66708"
"T073050","5","117905"
"T130668","4","86122"
"N010808","10","44075"
"W002460","2","116572"
"T110636","28","67832"
"N010536","3","17099"
"T128903","3","81266"
"N003546","2","19638"
"N002391","2","28912"
"T153498","31","85989"
"T117611","10","195157"
"T081818","2","73928"
"T112567","16","69528"
"N003562","3","82461"
"P002572","7","170648"
"N001344","2","121305"
"N010835","2","4179"
"T039714","6","479753"
"T128583","2","22835"
"N024207","18","95576"
"T091299","6","89231"
"T154285","13","1144784"
"T153498","3","65903"
"T117380","4","87718"
"N002183","11","207660"
"P002572","2","119419"
"T111955","5","16452"
"N012773","6","121745"
"T131949","5","86453"
"T167277","2","89361"
"T131954","13","98984"
"P005999","2","171820"
"T099728","2","4485"
"T117849","4","69813"
"T147035","12","1054010"
"N001894","2","18650"
"T094145","2","52235"
"T120384","11","195157"
"T119505","4","86246"
"T072519","3","25871"
"T078932","3","87558"
"T147252","2","172883"
"T039160","5","65617"
"P002925","3","66482"
"P002572","3","119525"
"N016941","11","285051"
"T038511","5","42166"
"T200747","13","116695"
"T145979","2","76491"
"T056090","6","88626"
"T082168","7","66165"
"T109334","14","43438"
"T119363","4","117701"
"N007961","2","124116"
"T043043","2","72585"
"T098191","3","117295"
"T146872","5","86459"
"N011212","2","67661"
"T078977","2","102426"
"T135993","3","42941"
"T075125","5","139289"
"N029529","3","128736"
"T127398","2","47652"
"T088907","2","89977"
"T119122","7","66172"
"T073491","4","109849"
"T111233","9","22916"
"N020132","3","197852"
"T061467","12","30253"
"T072791","5","117362"
"T063309","6","66318"
"T136380","7","87174"
"T100969","19","117649"
"T040980","2","29834"
"T146899","3","65731"
"T097133","6","65702"
"T145260","4","86231"
"T036569","51","93390"
"T135777","4","88426"
"T118532","6","17762"
"T135771","6","87477"
"T088889","5","42730"
"T139624","2","93189"
"T177160","4","88540"
"T150578","2","73595"
"T102206","5","84919"
"T086545","4","29320"
"T073302","5","30158"
"N047024","2","16507"
"T061240","5","90529"
"T130734","3","44805"
"T131649","4","70009"
"T033053","2","7355"
"T060974","14","95318"
"T051472","2","48717"
"T098245","3","129523"
"T127786","9","207646"
"T090118","3","66390"
"P002572","3","266565"
"T034678","3","7828"
"T022183","2","102724"
"T086996","5","77562"
"T004499","2","22119"
"T109490","11","22058"
"T055020","2","25032"
"N019504","2","4822"
"T112978","2","31541"
"T129173","13","43142"
"P002028","6","511753"
"T089450","4","127736"
"T170593","2","4680"
"T097718","3","73138"
"T125368","3","34446"
"N004117","6","21399"
"T110018","2","11160"
"T118307","2","29840"
"T144855","7","192929"
"N012562","9","65944"
"T178720","12","89021"
"P002032","3","37357"
"T088895","2","23619"
"T038910","5","22830"
"N027445","2","31265"
"T122783","2","94331"
"N013039","9","42448"
"T097924","8","121454"
"N021264","2","71155"
"T101795","3","43054"
"N016626","3","31466"
"T074579","3","68188"
"N019700","3","10542"
"T069152","2","2784"
"T190471","9","20692"
"T147415","2","171032"
"T180973","8","89056"
"P006696","3","42096"
"T112977","3","30121"
"T178984","3","167978"
"T153298","2","265685"
"T149360","6","89309"
"N014258","5","22943"
"T087667","3","10553"
"T098261","12","16675"
"T108456","2","69548"
"T043635","2","27884"
"T075064","2","16525"
"T141134","2","133340"
"T133958","8","265247"
"T153168","10","22787"
"P002719","9","266401"
"T012697","12","105413"
"T133960","16","286694"
"T027023","8","8139"
"N028899","4","7655"
"T178276","3","22577"
"P002927","6","116628"
"N000660","2","65856"
"T099975","4","92987"
"T146147","2","88252"
"T147315","10","66493"
"N026564","4","21562"
"T221183","11","269998"
"T137422","9","91835"
"T060748","6","183097"
"T066624","2","42679"
"T030440","7","42256"
"N006481","3","90300"
"T117623","12","73851"
"T130837","5","66176"
"T143333","3","137014"
"T135976","125","302136"
"T117548","3","71944"
"T108629","9","30549"
"T223993","2","11243"
"T041814","3","16527"
"T117267","3","44556"
"P002032","2","81697"
"T131524","12","66888"
"N014289","4","41981"
"T125879","2","14919"
"T116429","7","20942"
"P006031","11","87899"
"N018930","2","23516"
"N008301","5","21463"
"T096597","6","22393"
"T121848","2","17485"
"T043733","2","17818"
"T080462","19","90829"
"T011027","12","91311"
"T097928","8","121346"
"T013501","3","69552"
"T035536","2","43869"
"T045411","3","22397"
"T182066","2","5956"
"T177839","17","43129"
"N048331","2","65856"
"N005401","24","66341"
"N021192","9","16657"
"W041643","3","122010"
"T173044","7","42826"
"T080526","2","108493"
"N068545","10","85721"
"T213481","7","268436"
"T069641","4","9170"
"T041510","5","44300"
"N050172","7","266281"
"T146564","6","119967"
"T123876","4","70855"
"T135433","6","118019"
"T170201","14","66554"
"T136487","6","73254"
"T096963","8","79954"
"T178984","3","169356"
"T140385","3","86118"
