"metadata_ESTCID","Freq","TotalLength"
"P002572","11","169230"
"T090432","4","1095015"
"T138709","13","1411984"
"T138024","8","31666"
"T012225","3","7330"
"N019842","11","21930"
"T060974","22","94419"
"T114528","2","97449"
"T090624","2","47211"
"W002471","6","125346"
"T092165","3","17467"
"T131309","8","73546"
"P002572","11","262827"
"T025362","2","121816"
"T089429","10","48023"
"P006021","2","117680"
"T121416","3","66626"
"P006675","4","68246"
"T051628","2","68005"
"T091286","2","67249"
"T022987","4","439465"
"T111103","3","10681"
"T111682","12","86272"
"T028064","14","20501"
"N003088","3","13511"
"T147006","7","120655"
"T112220","3","7342"
"T137194","4","67143"
"N021671","2","31897"
"T072780","2","63213"
"T109176","14","170726"
"T064311","6","93379"
"T131953","19","95641"
"T110923","8","466823"
"T099478","16","118613"
"T147543","2","66086"
"T131597","3","42027"
"T131962","21","94289"
"N014043","2","5483"
"T165018","8","32023"
"T033425","2","59848"
"T096063","3","120320"
"T122825","5","180449"
"T061545","3","19733"
"T091300","3","67246"
"T026901","4","32014"
"T055929","2","109618"
"T173044","6","30175"
"T069538","2","22233"
"T146926","9","42286"
"T107662","8","87313"
"N003684","22","21626"
"P002719","17","262257"
"N069122","12","266949"
"T077710","9","22498"
"T213496","13","266082"
"T108818","2","1860"
"T046583","3","65856"
"W026110","2","143854"
"T120780","2","16718"
"T130902","3","132545"
"T119489","3","36465"
"T119137","12","16568"
"T119887","13","66066"
"T011226","4","26984"
"T134850","4","67477"
"T093953","2","104805"
"T117048","3","69846"
"T109819","4","68755"
"T119670","13","42345"
"T098546","17","122353"
"T074071","9","68828"
"N003703","28","85865"
"T122410","5","65820"
"T136311","2","16546"
"T083498","8","30990"
"T146566","3","88644"
"T137131","39","76118"
"N005403","27","42920"
"T136233","5","1377050"
"N017961","5","11726"
"T005959","10","123846"
"T146035","5","67841"
"T111260","5","29622"
"T117451","12","88933"
"T091602","9","42998"
"T046581","4","65905"
"T038577","5","42941"
"T088895","3","43877"
"T022004","2","10549"
"T119670","32","42007"
"T058640","7","44183"
"T106154","2","21660"
"T092836","3","86761"
"T149856","8","43381"
"T046584","3","65856"
"T131033","5","82554"
"N017235","4","66075"
"T129144","2","14674"
"N019018","11","66235"
"T004133","3","23879"
"N003704","21","169384"
"N053799","4","118688"
"N039731","2","16639"
"N034908","7","483414"
"P000142","7","266352"
"T085261","23","1073417"
"T123917","3","88456"
"T213495","10","267221"
"T129033","8","30360"
"N005092","13","280483"
"T078581","10","121962"
"T111630","7","28213"
"T177414","13","88843"
"T107053","4","174413"
"T101913","2","85812"
"N068871","6","332108"
"T068455","4","29894"
"N005947","7","10732"
"T108652","3","17849"
"T109985","7","22006"
"T089985","6","43101"
"T095962","2","87175"
"T099360","4","56129"
"N053031","8","17101"
"T137068","5","71333"
"T007171","6","21577"
"N019018","16","66312"
"T155207","7","168548"
"T147014","3","31408"
"N015923","3","10884"
"N036060","2","41943"
"T067329","22","65996"
"T136382","3","90183"
"N016687","3","48259"
"T082006","2","7310"
"P002032","3","40789"
"T086977","2","16835"
"T118422","3","45767"
"T037865","4","10704"
"P002028","8","511745"
"T119592","9","43564"
"T146819","17","124266"
"T188569","5","104306"
"T175930","5","121421"
"T221165","10","268545"
"T097929","9","121325"
"T144565","11","42163"
"T163898","19","67799"
"T066620","12","42679"
"T144565","12","42679"
"T178720","10","90306"
"T147415","5","171940"
"N003705","26","85938"
"T101314","10","43680"
"T097938","7","92006"
"T120585","2","10741"
"T082997","2","7473"
"T065223","2","1820"
"T035481","14","34649"
"T036582","3","11651"
"T119490","2","29187"
"T117229","3","10513"
"N043678","2","22550"
"P003413","16","343638"
"T091601","9","43806"
"T125065","2","16596"
"T154546","3","275789"
"N006260","12","42027"
"T032060","3","18759"
"T086999","3","30685"
"T092418","5","73724"
"T108615","6","30878"
"T057526","8","24195"
"T130678","5","44442"
"T069568","27","42683"
"T119887","14","65966"
"N026163","31","42353"
"T175930","11","88822"
"T121658","12","91297"
"T162631","9","117431"
"T138374","11","66031"
"N018907","14","42110"
"W030387","9","119192"
"T117698","2","119405"
"T058982","21","129096"
"T131033","6","77768"
"T178296","7","44307"
"T138192","2","66738"
"N008950","9","58668"
"T200931","5","274356"
"T147390","8","104313"
"N007987","14","121382"
"T133708","2","44012"
"T030412","8","16559"
"T177583","12","22286"
"T165089","6","22197"
"N042986","3","71542"
"T009547","3","10635"
"T074070","5","42165"
"T070330","2","10805"
"T130758","8","66151"
"T144374","10","29646"
"N050173","7","268436"
"T136311","3","16747"
"T129027","4","29423"
"T093420","5","29286"
"T169327","2","16824"
"T130758","4","58951"
"T110944","10","17491"
"T138372","10","66055"
"N029694","5","33610"
"T082906","4","69368"
"T058982","25","85937"
"P002032","6","41100"
"P003413","19","264103"
"T092097","7","47885"
"T078345","21","29539"
"T180973","15","88976"
"N021580","7","22845"
"T144643","5","43609"
"P002032","10","61655"
"N020982","4","66309"
"T129680","15","17267"
"T058982","20","87359"
"T064836","2","5377"
"T108584","2","69155"
"T057452","3","16837"
"T076062","11","32327"
"T066624","9","42175"
"N019268","2","22817"
"N027589","3","8026"
"T153630","6","42978"
"T180973","2","89039"
"T065243","6","29255"
"T063764","10","29356"
"T124516","3","89851"
"T213497","14","266871"
"T115828","22","41955"
"T083753","2","101925"
"N019013","11","66288"
"T177669","19","43129"
"T108553","2","21477"
"N050177","10","120729"
"N006811","7","120845"
"T133787","22","42427"
"T136977","17","91110"
"T160877","33","86489"
"T084068","3","33161"
"N006651","2","46023"
"T133177","2","43724"
"N027684","2","11180"
"N023377","9","22256"
"T106995","2","11940"
"T063450","10","93613"
"T029288","7","65820"
"N029780","9","117312"
"T116504","13","66275"
"N060669","3","17857"
"T105670","4","10598"
"T136487","15","65732"
"T125821","13","25332"
"P002719","24","262257"
"T004761","3","38123"
"T155591","10","53905"
"P003017","19","181447"
"T147415","5","149825"
"N014368","23","85721"
"T183868","3","24744"
"T098081","3","10549"
"T081771","3","22372"
"T079283","10","120881"
"T110125","6","29810"
"T199376","3","29191"
"T092670","6","14663"
"T002859","6","52808"
"N003382","4","22342"
"N010663","3","10565"
"T135467","2","176059"
"T101901","6","45397"
"T012177","3","10550"
"W029476","3","21038"
"T097938","3","90569"
"T095973","3","87145"
"T063191","4","44143"
"T127310","2","5492"
"N019006","22","85844"
"T121339","35","120738"
"T001075","7","24392"
"T100690","8","21626"
"W019883","2","7613"
"T135365","16","27534"
"T106541","2","10945"
"T089918","4","85919"
"T153060","5","92229"
"T099957","2","9685"
"T182182","7","21862"
"T177414","10","90531"
"T057070","2","4160"
"T038430","3","11907"
"N011096","4","31958"
"T046579","3","65856"
"N034994","12","25051"
"T136891","10","22591"
"T102910","3","168597"
"N029780","13","116921"
"T173761","5","94904"
"N035842","2","21762"
"W002925","11","66213"
"T154542","3","172488"
"T140774","5","87390"
"T125039","5","20917"
"N005403","8","66579"
"N006261","3","67431"
"T177290","5","7371"
"P002719","20","266379"
"T135865","2","16467"
"T054156","2","5377"
"T011227","2","21631"
"T116155","4","23038"
"T190313","4","11069"
"T154545","6","237735"
"N026458","4","10989"
"N034459","15","29315"
"N015725","16","86691"
"T060637","4","65677"
"W013562","12","96337"
"T111010","11","65572"
"T118423","3","68218"
"T123963","31","42695"
"P006031","36","179832"
"T074401","2","10846"
"T102199","6","18645"
"T180973","5","88250"
"N016052","7","186234"
"P006669","5","31977"
"T224411","4","21512"
"T132537","2","5884"
"T133958","3","191598"
"T088372","4","87684"
"T066036","8","74475"
"T118926","9","30148"
"T102781","2","16492"
"T038844","3","18010"
"N014368","27","69288"
"T165875","3","58737"
"T125368","3","32014"
"T062612","6","67726"
"T066623","11","42659"
"T136095","4","27637"
"T098546","13","121191"
"T185989","14","73243"
"N023405","8","30344"
"T097924","10","89401"
"T085468","3","66968"
"T112420","4","21639"
"T138955","9","73547"
"T193720","12","122203"
"T046594","3","10678"
"T139449","4","88319"
"W029495","2","47604"
"T131947","7","94373"
"N009341","2","16001"
"T110322","2","92619"
"T101515","4","1051575"
"T135750","2","70369"
"T111519","3","46542"
"T069294","2","78290"
"T126294","11","66393"
"T146150","2","88174"
"W036929","8","66708"
"T080193","8","123769"
"T079961","4","83274"
"T114346","4","178478"
"T110080","2","44993"
"T144147","11","174573"
"T073050","4","117905"
"T130668","14","86122"
"N010808","10","44075"
"T110636","46","67832"
"N003546","2","19638"
"T153498","25","85989"
"T081818","2","73928"
"T112567","2","69528"
"T119671","3","32828"
"N003562","2","82461"
"P002572","5","170648"
"N010835","2","4179"
"T039714","8","479753"
"T128583","2","22835"
"N024207","41","95576"
"T091299","3","89231"
"T072478","2","34172"
"T154285","6","1144784"
"T153498","3","65903"
"T099893","5","42047"
"T117380","4","87718"
"N012773","2","121745"
"T131949","6","86453"
"T131954","20","98984"
"P005999","2","171820"
"T117849","2","69813"
"T119505","11","86246"
"T073405","5","71016"
"T039160","9","65617"
"P002925","8","66482"
"P002572","12","119525"
"N016941","11","285051"
"T038511","11","42166"
"T109813","11","21721"
"T200747","49","116695"
"T080352","6","29235"
"T145979","5","76491"
"T138428","2","262484"
"T082168","12","66165"
"T109334","12","43438"
"T119363","4","117701"
"T141023","4","67006"
"T088910","2","121667"
"T098191","8","117295"
"N015693","3","530092"
"N011212","4","67661"
"T078977","6","102426"
"T135919","3","88925"
"T135993","4","42941"
"T075125","31","139289"
"N029529","4","128736"
"T127398","4","47652"
"T088907","3","89977"
"T119122","12","66172"
"T073491","8","109849"
