"metadata_ESTCID","Freq","TotalLength"
"P002572","4","169230"
"T090432","4","1095015"
"T138709","16","1411984"
"T138024","7","31666"
"N019842","3","21930"
"T089338","2","22378"
"T124105","3","118464"
"T028054","2","17489"
"T060974","3","94419"
"T114528","5","97449"
"N002197","7","209592"
"N028296","4","1050198"
"N001895","2","18969"
"T174240","3","11295"
"T092165","5","17467"
"T131309","4","73546"
"N003564","4","50126"
"T056446","12","1049516"
"T057081","16","29512"
"T025362","2","121816"
"P006021","3","117680"
"T101343","2","71550"
"T051628","5","68005"
"T028055","2","7997"
"T040276","3","77473"
"T058745","2","70103"
"T111103","2","10681"
"T111682","4","86272"
"T028064","2","20501"
"N003088","2","13511"
"T147006","11","120655"
"T127090","3","186136"
"T137194","3","67143"
"T112695","3","263575"
"T072780","2","63213"
"T109176","10","170726"
"T113142","11","191085"
"T064311","4","93379"
"W020440","6","44525"
"T089553","2","5754"
"T110923","10","466823"
"T099478","7","118613"
"T147543","2","66086"
"N008929","8","207460"
"T131597","3","42027"
"T116394","14","209607"
"T131281","7","87626"
"T131962","3","94289"
"T186459","2","11269"
"T128309","2","43280"
"T103707","5","281433"
"N014043","2","5483"
"T165018","8","32023"
"T070583","2","22227"
"T096063","2","120320"
"T121016","2","17489"
"N005843","2","103897"
"N018584","2","35118"
"T122825","10","180449"
"T061545","6","19733"
"N008422","8","65773"
"T055929","2","109618"
"T173044","3","30175"
"N028938","2","9596"
"T149856","4","30333"
"T146926","4","42286"
"N003684","10","21626"
"P002719","12","262257"
"T136238","9","1377131"
"N069122","10","266949"
"T077710","2","22498"
"T213496","9","266082"
"T175875","2","5564"
"T046583","6","65856"
"T105641","2","24821"
"N019415","5","490905"
"T164247","5","67020"
"W026110","3","143854"
"T120780","4","16718"
"T119137","19","16568"
"T227513","5","7404"
"T119887","49","66066"
"T134850","17","67477"
"T093953","6","104805"
"T117048","3","69846"
"T109819","22","68755"
"T119670","4","42345"
"T098546","22","122353"
"N003703","88","85865"
"T122410","3","65820"
"T083498","6","30990"
"T146566","3","88644"
"T137131","15","76118"
"N005403","30","42920"
"T136233","10","1377050"
"N017961","3","11726"
"T005959","5","123846"
"T146035","15","67841"
"T111260","5","29622"
"T117451","13","88933"
"T091602","4","42998"
"T046581","6","65905"
"N019732","3","2661"
"T088895","4","43877"
"T225015","2","1024"
"T136426","5","503166"
"T119670","27","42007"
"T058640","7","44183"
"T092836","2","86761"
"T149856","10","43381"
"T033348","4","21637"
"T046584","6","65856"
"T027512","2","10999"
"T136425","5","485149"
"T131033","4","82554"
"N017235","10","66075"
"T105640","3","66675"
"N019018","30","66235"
"T149178","3","42464"
"T059021","12","45165"
"N003704","57","169384"
"N053799","2","118688"
"T144784","3","65773"
"N034908","7","483414"
"P000142","5","266352"
"T085261","11","1073417"
"T123917","6","88456"
"T213495","9","267221"
"T129033","10","30360"
"N005092","11","280483"
"T061379","4","11752"
"T111630","13","28213"
"T177414","12","88843"
"T107053","20","174413"
"T101913","2","85812"
"N068871","4","332108"
"T068455","11","29894"
"N005947","7","10732"
"T089985","4","43101"
"T095962","2","87175"
"T038790","4","17059"
"T069671","3","82689"
"N053031","5","17101"
"T137068","22","71333"
"T007171","7","21577"
"N019018","56","66312"
"T155207","4","168548"
"T147014","4","31408"
"T146519","4","67509"
"T067329","5","65996"
"T100408","13","43824"
"T136382","2","90183"
"T118422","7","45767"
"T164627","3","42605"
"T037865","4","10704"
"P002028","8","511745"
"T063178","4","11583"
"T000854","3","31391"
"T119592","9","43564"
"T146819","18","124266"
"T188569","10","104306"
"T175930","4","121421"
"T084428","7","31347"
"T221165","7","268545"
"T097929","16","121325"
"T144565","15","42163"
"T163898","20","67799"
"T066620","4","42679"
"T041374","3","17495"
"T135524","3","111352"
"T144565","4","42679"
"N006165","3","16783"
"T178720","10","90306"
"T147415","5","171940"
"N003705","74","85938"
"T101314","4","43680"
"T097938","9","92006"
"T120585","4","10741"
"T082997","3","7473"
"T035481","7","34649"
"T036582","4","11651"
"N026286","4","16431"
"T090148","4","177186"
"T117229","2","10513"
"T089449","21","133948"
"P003413","13","343638"
"T091601","3","43806"
"T054399","13","119968"
"T154546","5","275789"
"N006260","7","42027"
"T113007","8","68813"
"T032060","2","18759"
"T086999","3","30685"
"T057526","4","24195"
"T004007","3","65833"
"T069568","33","42683"
"T119887","35","65966"
"N026163","18","42353"
"T175930","3","88822"
"T121658","12","91297"
"T138374","9","66031"
"T117828","3","50133"
"N018907","2","42110"
"N021867","12","11099"
"W030387","19","119192"
"T117698","4","119405"
"T058982","12","129096"
"T131033","7","77768"
"N018608","4","14738"
"T138192","11","66738"
"N008950","16","58668"
"T200931","9","274356"
"T147390","2","104313"
"N007987","4","121382"
"T074070","2","46159"
"T133708","3","44012"
"T030412","8","16559"
"T177583","23","22286"
"T146035","23","67081"
"T165089","4","22197"
"T009547","3","10635"
"T074070","2","42165"
"T066159","3","17113"
"N050173","9","268436"
"T155101","2","127162"
"T093420","3","29286"
"T169327","2","16824"
"T130758","2","58951"
"T110944","9","17491"
"T138372","9","66055"
"N029694","3","33610"
"T002895","4","94116"
"T058982","12","85937"
"P002032","8","41100"
"P003413","18","264103"
"T092097","8","47885"
"T056062","2","7346"
"T078345","23","29539"
"T180973","20","88976"
"P002032","3","61655"
"N019006","12","87905"
"N020982","7","66309"
"T129680","16","17267"
"T058982","12","87359"
"T183391","5","18807"
"T095977","2","17903"
"T076062","12","32327"
"T066624","12","42175"
"N019268","5","22817"
"N027589","2","8026"
"T153630","2","42978"
"T180973","17","89039"
"T065243","4","29255"
