"metadata_ESTCID","Freq","TotalLength"
"P002572","7","169230"
"T026767","5","66621"
"T069065","2","46033"
"T038486","2","19847"
"T040661","7","22889"
"T119231","1","30449"
"T118225","5","27081"
"T045802","2","29745"
"T136211","7","5845"
"T027820","3","44044"
"T018706","1","16529"
"N020874","1","42636"
"N024320","1","19514"
"T083838","4","44646"
"T153525","8","35907"
"T136134","5","18242"
"T112247","11","81891"
"N010131","1","10134"
"T033465","1","7345"
"T090432","27","1095015"
"T202053","2","10618"
"N023237","6","32045"
"T069644","1","67545"
"T060414","27","71201"
"T106315","1","93071"
"N014595","10","67145"
"T053884","2","12071"
"T009541","2","67039"
"T061385","5","363239"
"T152311","2","23514"
"T148535","3","43854"
"N005713","5","30658"
"T146100","3","42464"
"W037198","3","1847"
"N010309","1","14304"
"N000530","1","5973"
"T144986","1","18457"
"T110708","1","116720"
"T164832","2","17473"
"T139142","33","65704"
"T138709","35","1411984"
"T077990","2","22842"
"T066335","1","22852"
"T112341","4","49685"
"T136324","10","67173"
"T196383","2","117932"
"T073963","3","46142"
"T153854","1","30695"
"T109362","10","104466"
"T088411","1","13887"
"T139142","18","65716"
"T085326","1","16725"
"T002965","1","20669"
"T033584","1","18411"
"N016295","1","5619"
"T027807","1","35023"
"T135788","1","30818"
"T020437","2","46184"
"T071029","9","70743"
"T122689","3","54430"
"T148721","16","69514"
"N015198","3","2754"
"N012312","6","42955"
"T040723","1","9391"
"T153648","2","22085"
"T138157","20","466203"
"T071385","14","46460"
"T147639","9","114912"
"T144791","5","66644"
"T059538","1","17724"
"T139142","1","65856"
"T055932","83","61252"
"T016829","4","23050"
"T026916","1","16803"
"T071580","2","159622"
"T105929","3","119776"
"T111958","10","29244"
"T136623","2","117903"
"T127452","1","48262"
"T148098","11","17960"
"T122173","1","8065"
"N020581","1","11091"
"T111894","1","12342"
"N023046","1","4892"
"T142667","5","78507"
"T064267","3","90722"
"T112545","1","5158"
"T054056","1","19126"
"T107754","3","119129"
"T149312","22","94006"
"N066478","41","42263"
"T044128","1","7321"
"N005047","2","66419"
"T058840","2","119535"
"T022410","2","89844"
"P006021","2","45373"
"N002228","9","85176"
"N040759","8","353175"
"T121688","2","18503"
"T187547","4","71306"
"T026771","3","67371"
"T002289","1","16763"
"T117575","2","50005"
"T166681","4","34468"
"T027810","5","5719"
"T092283","7","43885"
"N033081","4","167855"
"T144357","4","42797"
"N002971","8","22219"
"N005001","5","68048"
"T101852","1","23897"
"N023426","1","12799"
"T110263","2","70571"
"T120396","1","42137"
"T172035","4","4116"
"T110961","1","127933"
"T099544","1","70380"
"T138024","15","31666"
"T094233","7","47267"
"T130618","3","97844"
"N015015","3","22826"
"T105507","16","173179"
"T060558","2","26965"
"T012225","1","7330"
"N006494","8","30908"
"T071408","15","170681"
"T123478","5","46458"
"T110874","15","124460"
"T119518","7","71507"
"T093741","1","81097"
"P002656","1","12211"
"T127634","38","170250"
"N019842","3","21930"
"T132575","1","16126"
"T084964","1","39802"
"T131960","4","114801"
"N009432","1","11130"
"N002986","1","49807"
"N014581","6","70179"
"T105507","5","168961"
"T112165","1","22639"
"N030314","1","66151"
"N004853","3","46014"
"T082192","2","176073"
"T089338","3","22378"
"T106856","1","22377"
"T124105","3","118464"
"N009889","3","42283"
"T104111","1","16448"
"N010067","4","16932"
"T147252","1","76403"
"T090818","5","9340"
"T011210","7","179190"
"T146573","13","172242"
"T011077","1","16647"
"T061245","1","65989"
"T164005","3","46208"
"T080696","3","72633"
"T028054","2","17489"
"T073696","1","23970"
"T045625","2","11166"
