"metadata_ESTCID","Freq","TotalLength"
"T136428","34","484926"
"T198520","6","10609"
"N050173","76","268436"
"N000214","5","5405"
"T145496","36","171640"
"T132964","7","106749"
"W037109","11","17450"
"T155101","55","127162"
"T136311","8","16747"
"T153919","4","4312"
"T129027","6","29423"
"T109540","11","16467"
"N014855","36","266550"
"T108477","3","19368"
"N016614","56","43871"
"T099430","19","16612"
"T138372","20","66055"
"T167984","7","21860"
"T143334","33","57590"
"T183770","7","43245"
"T144708","22","69716"
"T133099","12","66540"
"T128831","20","179039"
"N063077","10","51701"
"T128002","106","72790"
"P003413","40","264103"
"W028610","14","23294"
"N024181","10","23857"
"T128373","9","17380"
"T106498","18","17360"
"T143667","11","10566"
"N019971","41","84797"
"T031563","3","5377"
"T071135","15","7321"
"T139308","6","7297"
"T130681","80","117625"
"N020982","8","66309"
"T130497","6","33998"
"T155206","37","171324"
"T048424","6","29191"
"T173494","16","30548"
"T103008","10","4160"
"N011399","21","10629"
"N021010","56","68443"
"T183391","4","18807"
"T108584","35","69155"
"N001120","8","16448"
"T145740","141","267781"
"T092124","9","10633"
"T145739","35","116631"
"N015369","15","66547"
"T046015","24","17184"
"T097747","256","188503"
"T104229","8","16412"
"T195933","3","5393"
"T180973","21","89039"
"T011241","29","29231"
"T084413","18","21566"
"T095380","10","87284"
"T124516","35","89851"
"T194895","23","30523"
"T213497","35","266871"
"T110209","12","21696"
"T099375","11","16904"
"N019013","11","66288"
"T003974","11","10614"
"T177669","11","43129"
"T130713","15","43051"
"T136840","22","71278"
"T109052","65","92598"
"T088264","17","65931"
"T136977","86","91110"
"T028234","15","29345"
"T012965","10","26241"
"T176606","11","7365"
"T002598","3","7744"
"T084641","26","33139"
"T095384","25","169997"
"N006726","19","71144"
"T133177","12","43724"
"T122880","9","5534"
"T082375","11","61134"
"T095753","21","43339"
"T208092","8","17352"
"W036398","20","85918"
"T122047","31","66894"
"T049633","17","16756"
"N001857","25","30949"
"T102127","3","7365"
"T031444","56","66255"
"T005800","16","65592"
"T084398","9","17724"
"N007127","15","74687"
"T044238","6","22211"
"T161023","20","116675"
"T107685","11","30352"
"T130681","147","115736"
"T084408","20","42192"
"T155206","43","173415"
"T096639","25","16419"
"T136487","10","65732"
"T149360","15","86652"
"T031541","7","19729"
"T113249","4","17607"
"T140546","22","35134"
"W028795","3","2867"
"T087852","68","67126"
"T141102","34","92237"
"T086139","22","82117"
"T002838","3","10652"
"P002719","30","262257"
"T072099","16","67988"
"T167170","25","52489"
"T147415","46","149825"
