"metadata_ESTCID","Freq","TotalLength"
"T045802","8","29745"
"T090432","15","1095015"
"T138709","191","1411984"
"T196383","4","117932"
"T064267","10","90722"
"T092283","21","43885"
"T124105","36","118464"
"T090432","13","1048604"
"T138157","26","473482"
"T060478","15","16468"
"W002471","6","125346"
"N014193","4","77630"
"P002572","19","262827"
"T089429","100","48023"
"P006021","7","117680"
"T082749","3","18615"
"T150137","25","123654"
"T090621","5","68592"
"T000911","21","21034"
"T053256","3","45019"
"T134261","4","42466"
"N016511","16","63486"
"T109176","26","170726"
"N019166","5","87816"
"T110923","29","466823"
"T147543","25","66086"
"T096464","8","74633"
"T060056","23","27025"
"T131281","7","87626"
"T091561","42","67130"
"T033425","16","59848"
"T133190","12","66477"
"T096063","8","120320"
"N024881","33","118245"
"T077751","3","16481"
"T050908","29","43869"
"T109963","9","20476"
"T173044","9","30175"
"T138240","11","94281"
"T108496","4","5432"
"T149856","15","30333"
"T126842","15","34544"
"T107662","149","87313"
"P002719","48","262257"
"T136238","46","1377131"
"N010903","14","17876"
"T005834","9","20101"
"N069122","14","266949"
"T050895","16","21443"
"T061708","52","43087"
"N014391","5","119066"
"T131807","80","42798"
"T213496","36","266082"
"N019618","4","4124"
"T160848","103","681740"
"T046583","61","65856"
"T107175","10","10887"
"T041841","9","10557"
"N015587","11","16467"
"T014247","9","19834"
"N063290","38","128155"
"T029798","35","65857"
"T146092","29","72965"
"T127630","10","16520"
"T102433","26","16467"
"T143983","9","16428"
"W026110","23","143854"
"T038304","4","4179"
"T130902","17","132545"
"T056947","31","69509"
"T108452","48","44908"
"T119887","15","66066"
"T011226","20","26984"
"T134850","10","67477"
"T093953","70","104805"
"T125037","5","16818"
"T121144","6","11190"
"T066336","6","10517"
"T110300","45","73094"
"T117048","12","69846"
"T145739","67","167885"
"T054242","7","4179"
"T109819","24","68755"
"T038249","10","4136"
"T098546","26","122353"
"T100537","29","29979"
"T074071","40","68828"
"T122410","22","65820"
"T103929","12","29423"
"T136311","12","16546"
"T035010","7","16683"
"T083498","9","30990"
"T174064","8","86211"
"T146566","23","88644"
"T137131","13","76118"
"N037345","43","138203"
"W021976","15","30395"
"N039638","78","66730"
"W031889","179","87131"
"T136233","72","1377050"
"N063561","13","65711"
"T144101","33","67257"
"N014820","7","16924"
"T005959","134","123846"
"T146035","17","67841"
"T139449","196","168073"
"T083504","9","29890"
"T108909","4","10535"
"T178641","13","31899"
"T049566","13","23647"
"W018694","8","7345"
"N012507","14","49954"
"W027642","49","46275"
"T013715","11","16722"
"T004789","13","10825"
"N002484","34","102938"
"T046581","47","65905"
"N018727","21","23777"
"T038577","12","42941"
"T050874","32","16822"
"T088895","7","43877"
"T071959","39","116356"
"T049650","14","21449"
"T013716","5","16706"
"T048835","5","4228"
"T003979","12","11856"
"N010056","6","10559"
"T110794","51","66419"
"T038007","3","17459"
"T120329","16","17979"
"T108809","13","7329"
"T136426","87","503166"
"T122066","22","86867"
"T040295","11","9200"
"T046610","18","23007"
"N023280","7","7611"
"T108774","4","4124"
"T136514","8","45118"
"N002825","8","73495"
"T027304","53","16588"
"N019065","13","16448"
"N005752","19","10596"
"T149856","23","43381"
"T146351","25","12151"
"T165877","157","1118561"
"T121496","5","5387"
"T046584","64","65856"
"T114018","12","16869"
"T136425","143","485149"
"T166652","60","466125"
"T175010","13","10525"
"T145739","60","167855"
"T131033","11","82554"
"T102355","18","22516"
"T001939","6","10549"
"P005964","142","118881"
"N027516","8","26915"
"T092645","21","65664"
"N027120","13","14980"
"T059021","19","45165"
"T045463","11","43126"
"T111102","12","69953"
"T065753","32","26311"
"N003704","26","169384"
"T108602","12","5418"
"T094004","4","5453"
"T079406","51","168906"
"W020522","29","127665"
"W019245","13","21491"
"W031190","44","169796"
"T058071","11","16493"
"T053722","54","29871"
"T144784","58","65773"
"N023433","7","21465"
"N018452","9","7398"
"T118221","4","17156"
"T116855","7","11462"
"T088129","9","16530"
"T070827","11","10549"
"N034908","56","483414"
"T217786","3","4382"
"P000142","88","266352"
"N004370","12","49468"
"T085261","272","1073417"
"N020334","14","11054"
"T211664","21","10856"
"T213495","30","267221"
"T109935","60","67046"
"T032192","24","51121"
"N008398","12","134145"
"N005092","69","280483"
"T068950","9","16464"
"T044893","16","16724"
"T078409","5","10549"
"T121849","12","10766"
"T086692","30","21785"
"T046576","62","65856"
"T183222","8","7384"
"T078581","23","121962"
"T111630","38","28213"
"T148509","23","44629"
"T084144","168","494248"
"T068547","21","72053"
"N024722","3","4136"
"W020315","30","35313"
"T118926","4","42088"
"T177414","13","88843"
"T107053","32","174413"
"T175079","9","44915"
"T086230","7","17431"
"N068871","69","332108"
"T112802","49","262227"
"N000964","15","22052"
"T132727","5","21626"
"N035196","6","17176"
"T123253","7","3024"
"T063266","41","49584"
"T097162","18","5656"
"W037838","18","10756"
"T133102","13","66540"
"T118926","12","42069"
"T047490","10","33023"
"T089985","9","43101"
"T146636","8","16902"
"T170063","19","36488"
"T117698","19","125642"
"N002545","12","7321"
"T146350","10","177449"
"T107729","3","3985"
"N006879","131","167836"
"T133960","32","269042"
"T028234","15","33447"
"T040878","5","16474"
"T002414","12","10626"
"T007171","15","21577"
"T094278","196","117455"
"W015751","39","86729"
"T045388","9","48194"
"T055716","29","10933"
"T028973","10","17104"
"T155207","52","168548"
"T071961","23","71903"
"T184230","9","5530"
"N036060","5","41943"
"T146519","27","67509"
"N004409","8","11208"
"T179679","19","16467"
"T067329","15","65996"
"T048125","5","4136"
"T100408","9","43824"
"T100128","15","11550"
"T136382","18","90183"
"N016687","33","48259"
"T134553","37","175806"
"T108901","27","28235"
"N011457","26","16782"
"T032776","10","5442"
"T095534","11","18212"
"T037878","11","16448"
"T114900","18","32199"
"T097807","15","17838"
"N007939","32","30963"
"N008397","26","31618"
"N026543","8","6072"
"T143537","23","11215"
"T112777","6","29220"
"N052353","121","279791"
"T139933","15","77409"
"P002028","58","511745"
"T096139","56","30961"
"T146819","33","124266"
"T188569","23","104306"
"N013103","8","43955"
"T005869","8","31186"
"T038544","5","36307"
"T048712","3","2661"
"T084428","16","31347"
"T020922","11","16412"
"N010786","22","17750"
"T095812","33","83411"
"T038482","18","43391"
"N048953","3","16429"
"N001500","23","65751"
"N060472","19","272194"
"T005852","3","4521"
"T052085","14","42003"
"T093937","20","46048"
"N026646","21","19055"
"W005416","25","86973"
"T066620","7","42679"
"T108171","29","92187"
"T041374","14","17495"
"T130905","18","139352"
"T037165","40","21850"
"T130681","88","116989"
"T153296","26","148478"
"T038012","16","7345"
"T202588","7","5389"
"T147885","8","10677"
"T147415","77","171940"
"T178280","15","16774"
"T115425","7","16492"
"T101314","22","43680"
"T097938","21","92006"
"T116250","30","23761"
"T125076","4","17084"
"T050794","9","10600"
"N011119","6","10829"
"T078205","12","19109"
"T098578","7","117203"
"N006879","76","119209"
"T048570","8","4219"
"T032323","8","16716"
"T091354","16","22544"
"T041730","7","43281"
"T077368","33","22099"
"T037879","11","16448"
"T119490","33","29187"
"N041498","17","21258"
"T168544","23","43355"
"T090148","51","177186"
"T117229","17","10513"
"T095117","18","118372"
"T041766","15","29400"
"T117305","8","16561"
"T089449","24","133948"
"P003413","38","343638"
"T073042","6","5369"
"T050765","9","29171"
"N011228","5","1401"
"T084396","7","16724"
"T054399","41","119968"
"T154546","43","275789"
"N006260","23","42027"
"T113007","9","68813"
"T032060","15","18759"
"T140556","65","86178"
"T092418","37","73724"
"T072019","4","16953"
"N014821","7","17124"
"T177179","13","30192"
"T108615","18","30878"
"N027015","15","42559"
"T048426","7","29195"
"T140214","11","7321"
"T130678","26","44442"
"T044913","17","29211"
"T119887","8","65966"
"N026163","6","42353"
"W021329","20","66663"
"T175930","14","88822"
"T121658","44","91297"
"T095381","25","117760"
"T083502","167","89326"
"T071963","31","90304"
"T053566","10","7321"
"T115929","6","24121"
"T037971","12","16448"
"T095382","69","102666"
"T105949","9","48844"
"T138374","66","66031"
"T117828","17","50133"
"T134120","19","12266"
"N018907","8","42110"
"T092832","17","30970"
"T094278","120","86219"
"T095874","15","19304"
"T185848","12","48293"
"W030387","52","119192"
"T051439","11","1052"
"N013086","10","32603"
"T132193","11","30502"
"T013528","17","11708"
"T055040","20","29370"
"T117698","7","119405"
"T058982","19","129096"
"N032232","20","7817"
"T065562","11","10570"
"T180110","10","4154"
"T178296","13","44307"
"T138192","32","66738"
"T112764","13","140779"
"N008950","22","58668"
"T004778","26","29201"
"T200931","29","274356"
"T102253","32","73094"
"T121885","7","29187"
"T110225","9","4482"
"T180348","39","122556"
"N020095","3","6285"
"T133708","13","44012"
"T083247","62","116749"
"T175844","5","11267"
"T106364","3","4160"
"N004624","16","67114"
"T021992","23","29227"
"T149866","19","289403"
"T037858","11","11622"
"T071365","53","71975"
"T062150","15","42108"
"N007637","7","23620"
"N039621","14","19755"
"T001553","8","17035"
"T134076","89","70275"
"T084582","6","16553"
"T014657","3","16467"
"T170916","37","65619"
"T208248","7","16448"
"T052084","13","29211"
"N050173","74","268436"
"N046316","11","5420"
"T145496","37","171640"
"T035524","8","16657"
"T109081","20","21820"
"T050214","6","31285"
"W037109","16","17450"
"T155101","54","127162"
"T108725","7","5393"
"T136311","9","16747"
"T030980","8","5413"
"T129027","9","29423"
"T021896","10","17210"
"T109540","11","16467"
"T037761","60","49290"
"N014855","43","266550"
"N016614","58","43871"
"N029301","3","16467"
"T099430","35","16612"
"N041907","9","10572"
"T138372","63","66055"
"T160572","28","91484"
"T167984","15","21860"
"N022233","5","17763"
"T143334","39","57590"
"T183770","7","43245"
"T045102","6","5689"
"T145739","75","116622"
"T144708","23","69716"
"T133099","15","66540"
"T127649","13","11623"
"T037962","11","16468"
"T144566","4","10719"
"N063077","10","51701"
"T128002","71","72790"
"T095567","45","34564"
"P003413","52","264103"
"T046744","3","11024"
"T065014","5","4134"
"W028610","13","23294"
"T014656","3","16612"
"T176193","8","90042"
"N034309","12","16565"
"T128373","8","17380"
"T106498","18","17360"
"W015760","4","6811"
"T108358","4","14793"
"N019971","49","84797"
"T177345","13","22331"
"T031563","4","5377"
"T180973","17","88976"
"T022163","11","16726"
"T149709","4","7281"
"T071135","21","7321"
"N019006","15","87905"
"T139308","8","7297"
"T130681","79","117625"
"N015701","15","69807"
"T155206","37","171324"
"T122276","7","5432"
"T048424","7","29191"
"T173494","19","30548"
"N011399","23","10629"
"N021010","72","68443"
"T108584","36","69155"
"T030414","7","7345"
"N001120","8","16448"
"T145740","138","267781"
"T076062","35","32327"
"T068187","7","46520"
"T145739","36","116631"
"N015369","16","66547"
"N013682","13","7306"
"N010813","5","5458"
"T136515","16","43781"
"T108552","29","10805"
"T153630","38","42978"
"T180973","28","89039"
"T011241","31","29231"
"T131226","10","29155"
"T084413","19","21566"
"N024276","6","8646"
"T095380","8","87284"
"T124516","37","89851"
"T194895","22","30523"
"T213497","41","266871"
"T010179","11","66073"
"T115828","10","41955"
"T110209","13","21696"
"T040826","5","16525"
"T099375","11","16904"
"T005814","10","15007"
"T182444","11","21888"
"T083753","12","101925"
"T088232","14","24794"
"T177669","15","43129"
"T084078","14","43698"
"N050177","12","120729"
"T130713","27","43051"
"T031147","7","16908"
"T136840","25","71278"
"T133787","7","42427"
"T109052","73","92598"
"T138374","30","76523"
"T088264","13","65931"
"T136977","80","91110"
"T160877","21","86489"
"T028234","17","29345"
"T012965","17","26241"
"T176606","11","7365"
"T005833","12","19294"
"T002598","4","7744"
"T084641","42","33139"
"T095384","23","169997"
"N006651","26","46023"
"N006726","27","71144"
"T133177","11","43724"
"T106211","3","4244"
"T083139","35","89285"
"N008416","14","65746"
"N007127","40","78482"
"T221396","41","173016"
"T041714","8","8370"
"N027684","15","11180"
"T082375","16","61134"
"T095753","27","43339"
"T058864","10","21849"
"T208092","20","17352"
"W036398","39","85918"
"N008685","9","16448"
"T178641","5","33005"
"T122047","29","66894"
"T102148","8","10575"
"T049633","19","16756"
"N025763","57","29436"
"T005800","25","65592"
"T072005","5","7410"
"N016764","17","17504"
"T084398","13","17724"
"N007127","80","74687"
"T226737","13","17417"
"T054161","5","10525"
"T161023","31","116675"
"T107685","30","30352"
"T029288","47","65820"
"T133056","21","17609"
"T173345","3","4176"
"T116504","13","66275"
"T084408","21","42192"
"T155206","40","173415"
"T016641","12","10609"
"N014465","5","10549"
"T136487","10","65732"
"T031541","4","19729"
"T013577","48","29871"
"T005830","9","19313"
"T037832","12","7410"
"T125821","10","25332"
"W028795","5","2867"
"T162395","22","43160"
"T093991","12","21501"
"T087852","67","67126"
"T166922","4","21839"
"T170657","16","20730"
"P002719","37","262257"
"T004761","41","38123"
"T072099","18","67988"
"T167170","21","52489"
"T033502","27","31618"
"T122226","11","13190"
"T147415","47","149825"
"T190392","27","16529"
"T150329","29","21824"
"T183868","27","24744"
"T005786","90","197572"
"T160402","38","34866"
"N022536","10","31643"
"T092670","4","14663"
"T143553","5","11578"
"N019407","4","4160"
"T137101","42","68029"
"P002509","109","118804"
"T083249","13","19109"
"T161022","33","116690"
"T002859","20","52808"
"T109345","109","86626"
"T145739","83","167855"
"T135467","10","176059"
"T121047","25","23029"
"T144464","139","263828"
"T117450","3","70577"
"N026564","5","18371"
"T160581","9","120020"
"T180975","9","67695"
"T166178","14","73776"
"P002032","9","58545"
"T130681","48","118539"
"W029476","35","21038"
"T126885","13","7323"
"T054689","15","10577"
"T096138","20","10608"
"W031951","14","42071"
"T037788","6","4220"
"T056898","11","10575"
"T075113","8","7366"
"T145739","68","116621"
"T099351","26","12398"
"T099619","18","45323"
"N017206","16","21439"
"T063191","11","44143"
"T055608","5","17003"
"T071563","3","16448"
"T053755","16","17613"
"T022353","21","177275"
"T121339","8","120738"
"T122608","30","19144"
"T117347","9","24255"
"T087839","8","17809"
"T001075","7","24392"
"P002287","5","69607"
"T137098","4","2704"
"T012690","15","16553"
"T097657","26","121454"
"T100690","21","21626"
"T092109","65","172121"
"T144725","79","139213"
"T035925","5","4124"
"T082685","12","137202"
"T005881","20","31659"
"N013087","3","32065"
"N014332","4","11550"
"T128256","70","42107"
"P000142","53","170437"
"T089918","79","85919"
"T135949","22","29359"
"T132604","7","17123"
"T117548","22","68985"
"T153060","14","92229"
"T130681","100","117460"
"T130681","66","117558"
"T177414","11","90531"
"T081116","5","27131"
"W013002","31","102592"
"N007374","8","16501"
"T176022","6","10513"
"T018232","17","29428"
"T046579","60","65856"
"T037874","10","16424"
"T005885","18","32161"
"T118513","7","17138"
"T039834","26","29045"
"N029095","10","15262"
"T026800","6","11652"
"T095604","5","4164"
"T038242","13","5453"
"T102910","73","168597"
"N029780","7","116921"
"N035842","20","21762"
"W002925","31","66213"
"T154542","46","172488"
"T006269","29","29354"
"T140774","46","87390"
"T125039","8","20917"
"T012957","27","16488"
"T094549","12","8040"
"T107665","11","50775"
"W020490","95","135207"
"T084412","5","10777"
"N005403","7","66579"
"N035342","40","345511"
"T090790","9","16547"
"T057202","38","29242"
"T154545","80","212876"
"T177318","7","11026"
"T041528","8","16468"
"T139659","32","30240"
"T175008","14","13175"
"T080528","21","68763"
"N006261","9","67431"
"T175904","10","17925"
"P002719","47","266379"
"N017987","23","175571"
"N011931","9","30631"
"T169583","17","16448"
"N016617","13","42023"
"P002031","27","97281"
"P003137","101","121508"
"T011227","24","21631"
"T154545","58","237735"
"T045080","19","24026"
"T122982","14","16562"
"N034459","15","29315"
"T091097","29","66117"
"N027052","10","11038"
"N015725","19","86691"
"T102907","16","16388"
"W020114","49","98894"
"T181932","9","13349"
"T044208","8","26891"
"N003338","3","10986"
