"metadata_ESTCID","Freq","TotalLength"
"T072019","3","16953"
"T108615","14","30878"
"N027015","17","42559"
"T048426","8","29195"
"T091447","23","26832"
"T069568","8","42683"
"T044913","11","29211"
"T119887","8","65966"
"W021329","31","66663"
"T175930","17","88822"
"T083502","100","89326"
"N012367","4","4331"
"T071963","33","90304"
"T108630","7","5512"
"T105949","8","48844"
"T138374","22","66031"
"W029581","9","43399"
"T117828","19","50133"
"N018907","11","42110"
"T092832","12","30970"
"T094278","105","86219"
"T095874","6","19304"
"T185848","15","48293"
"W030387","44","119192"
"N013086","11","32603"
"T132193","8","30502"
"T055040","20","29370"
"T117698","7","119405"
"T058982","22","129096"
"N032232","6","7817"
"T065562","11","10570"
"T178296","10","44307"
"T138192","29","66738"
"T112764","13","140779"
"T223251","5","31070"
"N008950","20","58668"
"T200931","31","274356"
"T102253","23","73094"
"T147390","12","104313"
"N007987","8","121382"
"T121885","11","29187"
"T083247","46","116749"
"T175844","5","11267"
"N004624","13","67114"
"T021992","25","29227"
"T149866","17","289403"
"T146035","19","67081"
"T055058","4","7417"
"N042986","8","71542"
"T071365","44","71975"
"N005623","53","16425"
"T083793","8","10549"
"T001553","7","17035"
"T134076","32","70275"
"T170916","23","65619"
"T052084","11","29211"
"T136428","32","484926"
"N050173","73","268436"
"N000214","5","5405"
"T145496","48","171640"
"T035524","7","16657"
"T002069","18","30534"
"T129027","5","29423"
"T109540","14","16467"
"T037761","55","49290"
"N014855","39","266550"
"N016614","52","43871"
"T145062","13","9967"
"T099430","17","16612"
"T120128","11","16476"
"N041907","11","10572"
"T138372","21","66055"
"T167984","7","21860"
"N005414","12","16630"
"T103015","7","5462"
"T145739","70","116622"
"T144708","23","69716"
"T117629","5","22180"
"T128831","20","179039"
"N063077","12","51701"
"T128002","73","72790"
"N014664","5","24566"
"T046744","3","11024"
"T092097","6","47885"
"W028610","12","23294"
"T176193","11","90042"
"N034309","13","16565"
"T128373","8","17380"
"T106498","16","17360"
"T106272","15","8076"
"T177345","15","22331"
"T031563","3","5377"
"T180973","17","88976"
"T149709","4","7281"
"W020468","3","30624"
