"metadata_ESTCID","Freq","TotalLength"
"T026767","45","66621"
"T118225","12","27081"
"T045802","13","29745"
"N020874","35","42636"
"T090432","57","1095015"
"T009541","10","67039"
"T061385","19","363239"
"T146100","5","42464"
"T138709","284","1411984"
"T196383","8","117932"
"T055932","21","61252"
"T092283","18","43885"
"N006494","10","30908"
"T124105","38","118464"
"N009889","8","42283"
"T011210","28","179190"
"T146573","16","172242"
"T073696","3","23970"
"T060974","5","94419"
"N004673","3","69032"
"T138158","29","466153"
"T148873","21","96604"
"T090432","32","1048604"
"T138157","57","473482"
"T060478","15","16468"
"W002471","6","125346"
"T192782","4","16651"
"T131309","59","73546"
"N027802","24","42475"
"T112363","3","12224"
"T098739","60","329032"
"N002424","9","43258"
"N014193","5","77630"
"P002572","32","262827"
"T129330","15","47931"
"T053583","4","12735"
"T134254","4","29876"
"T089429","110","48023"
"P006021","10","117680"
"T098051","21","68849"
"T094622","11","144162"
"T082749","8","18615"
"P002656","23","123058"
"T150137","29","123654"
"T096464","5","68832"
"N066478","7","42112"
"T090621","7","68592"
"N007443","6","11687"
"T027820","4","45413"
"T000911","19","21034"
"T053256","3","45019"
"T134261","9","42466"
"T026194","6","46287"
"N005427","22","87953"
"T083806","6","88826"
"T026766","37","66685"
"T084361","5","68260"
"T147006","10","120655"
"T071033","29","95078"
"N016511","19","63486"
"N011120","9","123544"
"T109176","29","170726"
"N019166","5","87816"
"T089484","28","66196"
"T131953","5","95641"
"T105088","17","70893"
"T111619","7","22154"
"P006675","11","68324"
"T110923","46","466823"
"T099478","19","118613"
"T038442","8","10549"
"T147543","23","66086"
"T096464","8","74633"
"T060056","22","27025"
"T018437","5","22892"
"T141449","10","30353"
"T120701","4","100150"
"T079315","6","43051"
"T131281","14","87626"
"T131962","4","94289"
"T091561","43","67130"
"N005316","5","4179"
"T143424","5","39739"
"N031731","8","42731"
"T147695","5","31966"
"T133190","10","66477"
"T072770","17","88907"
"T096063","24","120320"
"T180948","5","47027"
"T147252","6","109648"
"N024881","33","118245"
"N010023","13","70866"
"N012773","24","100176"
"N012152","45","47991"
"T126673","12","57262"
"T077751","3","16481"
"N006493","9","31211"
"T050908","27","43869"
"N020403","10","16467"
"T109963","6","20476"
"T173044","6","30175"
"T138240","12","94281"
"T108496","4","5432"
"T149856","17","30333"
"T132334","7","10598"
"T126842","19","34544"
"T107662","157","87313"
"P002719","52","262257"
"T193384","18","13249"
"T136238","95","1377131"
"N010903","21","17876"
"T068332","6","2784"
"N069122","25","266949"
"T140212","4","5462"
"T066318","19","19089"
"T061708","46","43087"
"T152908","32","169173"
"T213496","54","266082"
"T160848","110","681740"
"T046583","47","65856"
"T107175","10","10887"
"T041841","10","10557"
"N015587","11","16467"
"T102789","16","21739"
"N063290","39","128155"
"T029798","24","65857"
"T182011","8","10568"
"N019415","126","490905"
"T146092","28","72965"
"T108412","4","10689"
"T164247","16","67020"
"T127630","10","16520"
"T102433","27","16467"
"T143983","11","16428"
"T127576","13","16507"
"T109071","3","10569"
"N010479","7","10727"
"T035141","4","17570"
"W026110","14","143854"
"T044846","4","10898"
"T038304","3","4179"
"T130902","29","132545"
"T056947","41","69509"
"T108452","30","44908"
"T097747","293","193568"
"T119887","15","66066"
"T145812","9","15978"
"T134850","15","67477"
"T093953","87","104805"
"N016642","4","5455"
"T041681","36","66074"
"T066336","11","10517"
"T110300","28","73094"
"T117048","11","69846"
"T145739","81","167885"
"T109819","21","68755"
"T055007","13","84043"
"T119670","7","42345"
"T098546","23","122353"
"T100537","34","29979"
"T074071","52","68828"
"T128715","19","29707"
"N003703","20","85865"
"T122410","22","65820"
"T103929","8","29423"
"T136311","11","16546"
"T110247","6","10556"
"T083498","13","30990"
"T174064","19","86211"
"N006879","36","116573"
"T146566","23","88644"
"T137131","15","76118"
"N037345","50","138203"
"T139449","8","23800"
"T139478","1292","413407"
"N039638","79","66730"
"N005403","10","42920"
"W031889","201","87131"
"T122607","18","33251"
"T136233","124","1377050"
"N063561","12","65711"
"T144101","39","67257"
"T146035","18","67841"
"T111260","9","29622"
"T139449","187","168073"
"T083504","12","29890"
"T000870","17","10648"
"T178641","8","31899"
"T049566","12","23647"
"W018694","9","7345"
"N012507","12","49954"
"W027642","57","46275"
"T145823","5","16497"
"T013715","7","16722"
"T004789","12","10825"
"N002484","27","102938"
"T046581","32","65905"
"T038577","9","42941"
"T050874","20","16822"
"T088895","9","43877"
"T071959","42","116356"
"T049650","16","21449"
"T013716","3","16706"
"T048835","6","4228"
"T003979","14","11856"
"N010056","6","10559"
"T110794","41","66419"
"T038007","4","17459"
"T120329","9","17979"
"T108809","9","7329"
"T035121","15","16595"
"T136426","101","503166"
"T122066","17","86867"
"T119670","13","42007"
"T046610","18","23007"
"N023280","7","7611"
"T056458","6","10553"
"T136514","12","45118"
"N002825","9","73495"
"T215073","18","120807"
"W037190","6","9986"
"T092836","14","86761"
"N005752","13","10596"
"T149856","15","43381"
"T146351","23","12151"
"T165877","173","1118561"
"T121496","6","5387"
"T046584","49","65856"
"T114018","14","16869"
"T136425","159","485149"
"T166652","68","466125"
"T175010","11","10525"
"T145739","60","167855"
"T175394","8","10533"
"T145936","14","66627"
"T131033","14","82554"
"T102355","11","22516"
"T001939","6","10549"
"P005964","114","118881"
"N027516","8","26915"
"T149178","10","42464"
"T092645","23","65664"
"N027120","8","14980"
"T059021","17","45165"
"T045463","11","43126"
"T117322","10","68667"
"T177414","21","90330"
"T111102","14","69953"
"W004816","32","65688"
"T065753","33","26311"
"T041435","6","17811"
"N003704","27","169384"
"T041333","4","7667"
"T108602","6","5418"
"T094004","6","5453"
"T171567","16","23215"
"T079406","41","168906"
"W020522","57","127665"
"T155206","14","174335"
"T078227","18","16508"
"T032211","6","5389"
"W019245","17","21491"
"T107835","4","7281"
"W031190","42","169796"
"T058071","10","16493"
"T053722","52","29871"
"T144784","57","65773"
"T118221","6","17156"
"T116855","9","11462"
"T070827","8","10549"
"N034908","66","483414"
"T187569","29","120692"
"T217786","3","4382"
"P000142","88","266352"
"N004370","12","49468"
"T085261","366","1073417"
"T154626","8","29632"
"T211664","14","10856"
"T213495","42","267221"
"T109935","56","67046"
"T032192","20","51121"
"T113893","75","176188"
"N008398","12","134145"
"T129033","5","30360"
"N005092","83","280483"
"W020682","5","10703"
"T044893","17","16724"
"T018341","5","30302"
"T078409","5","10549"
"T121849","12","10766"
"T058127","7","82539"
"T086692","35","21785"
"T046576","47","65856"
"T145055","8","119202"
"T078581","27","121962"
"T111630","38","28213"
"T148509","20","44629"
"T084144","184","494248"
"T068547","33","72053"
"W020315","28","35313"
"T118926","8","42088"
"T177414","19","88843"
"T107053","51","174413"
"T175079","9","44915"
"T086230","7","17431"
"N068871","67","332108"
"T112802","52","262227"
"N000964","18","22052"
"N035196","5","17176"
"T063266","43","49584"
"T065483","16","71402"
"T097162","20","5656"
"T108652","4","17849"
"T133102","13","66540"
"T118926","14","42069"
"T047490","9","33023"
"T178956","7","26989"
"T088728","13","14859"
"T089985","10","43101"
"T146636","9","16902"
"T170063","15","36488"
"N005827","7","14665"
"T117698","20","125642"
"N002545","12","7321"
"T146350","13","177449"
"N046835","14","21602"
"T107729","3","3985"
"T069671","23","82689"
"N006879","134","167836"
"T133960","43","269042"
"T052979","14","10713"
"T099360","11","56129"
"T028234","16","33447"
"T002414","12","10626"
"T007171","16","21577"
"T094278","220","117455"
"N019018","13","66312"
"W015751","42","86729"
"T045388","13","48194"
